[2] : 0.4710,0.1113,0.9049,53.5049,24.2996,-16.5786,-337.3635,-0.7541,-532.2801,0.0142
[2] : 0.4601,0.0829,0.9156,29.9606,22.7279,16.7007,-370.3500,-9.7505,-73.4669,0.0141
[2] : 0.5181,0.0496,0.8556,21.0723,13.4582,27.2598,-323.8690,-5.2523,-551.7722,0.0141
[2] : 0.5210,0.0422,0.9081,2.7923,19.5159,23.7731,-104.9581,324.6133,-137.9406,0.0141
[2] : 0.4557,-0.0059,0.8555,-15.3884,40.4434,7.5607,-359.8543,18.7378,-68.9687,0.0141
[2] : 0.4787,0.0700,0.8966,-15.7546,46.3562,-8.1024,-326.8678,9.7415,-548.7734,0.0141
[2] : 0.4891,0.0738,0.8488,-9.3383,27.8549,7.0877,-349.3586,8.2421,-76.4657,0.0141
[2] : 0.4482,0.0469,0.8488,6.0958,-4.4403,28.1524,-326.8678,6.7427,-551.7722,0.0140
[2] : 0.4651,0.0621,0.8855,8.9111,-31.0058,53.6193,-361.3537,26.2348,-82.4632,0.0141
[2] : 0.3819,-0.0233,0.9574,-47.4777,-80.3985,74.1577,-373.3488,23.2360,-76.4657,0.0140
[2] : 0.5087,-0.0289,0.9854,-127.1972,-108.3068,47.2106,-110.9557,330.6109,-152.9345,0.0141
[2] : 0.5664,-0.0510,0.6999,-250.0000,-16.7846,102.7832,-371.8494,39.7293,-59.9724,0.0139
[2] : 0.6204,-0.1638,0.8537,-250.0000,2.2583,102.2491,-371.8494,39.7293,-59.9724,0.0141
[2] : 0.6351,-0.2526,0.9471,-250.0000,-55.5191,62.8051,-359.8543,63.7195,-32.9834,0.0141
[2] : 0.4872,-0.1835,0.9556,-53.1311,-8.2855,-5.8364,-359.8543,63.7195,-32.9834,0.0140
[2] : 0.5242,-0.1779,0.8063,102.7832,-11.9400,12.1994,-100.4599,344.1054,-136.4412,0.0140
[2] : 0.3826,-0.1902,0.7017,144.3176,-9.5977,10.6582,-361.3537,59.2213,-40.4803,0.0140
[2] : 0.1720,-0.1674,0.5424,100.5783,-81.4590,-44.8074,-361.3537,59.2213,-40.4803,0.0140
[2] : 0.5836,0.1414,0.9018,-223.2131,-148.4069,4.1198,-364.3525,53.2238,-28.4852,0.0141
[2] : 0.4647,-0.4782,1.2330,-250.0000,15.2511,147.6516,-364.3525,53.2238,-28.4852,0.0140
[2] : 0.4996,-0.9023,1.4598,-132.7972,123.4893,42.1142,-326.8678,0.7452,-542.7758,0.0141
[2] : 0.6331,-0.1574,0.6345,165.3289,79.0405,-75.1190,-359.8543,72.7158,-20.9883,0.0141
[2] : 0.5597,-0.1920,0.8560,25.4287,105.5755,-9.8953,-359.8543,72.7158,-20.9883,0.0141
[2] : 0.5396,-0.2667,0.9192,37.2543,98.2208,1.9989,-370.3500,71.2165,-28.4852,0.0141
[2] : 0.5145,-0.2558,0.8518,53.6499,112.6022,-15.3656,-370.3500,71.2165,-28.4852,0.0141
[2] : 0.4245,-0.2370,0.8414,66.0247,115.6845,-13.5192,-364.3525,59.2213,-58.4730,0.0141
[2] : 0.4201,-0.2332,0.9218,55.5267,100.1510,2.0980,-356.8555,66.7183,-80.9638,0.0141
[2] : 0.3880,-0.2973,0.9591,49.2019,99.5025,21.6522,-356.8555,66.7183,-80.9638,0.0141
[2] : 0.3712,-0.2669,0.9207,48.6907,114.3264,25.7797,-353.8568,69.7171,-92.9589,0.0141
[2] : 0.4033,-0.2370,0.9171,47.5616,138.9083,37.3992,-104.9581,330.6109,-140.9394,0.0141
[2] : 0.3426,-0.1735,1.0010,44.0673,139.8925,36.9338,-349.3586,62.2201,-124.4461,0.0141
[2] : 0.4037,-0.1483,1.0104,23.4603,105.5603,28.9077,-110.9557,339.6072,-137.9406,0.0141
[2] : 0.3300,-0.1959,1.0288,27.8015,97.8927,20.9274,-110.9557,339.6072,-137.9406,0.0141
[2] : 0.2640,-0.2401,1.0007,32.7072,84.4573,8.0032,-101.9593,333.6096,-143.9382,0.0141
[2] : 0.2329,-0.2216,1.0092,27.0843,75.5538,8.2855,-338.8629,72.7158,-164.9296,0.0141
[2] : 0.2460,-0.2527,0.9426,24.1241,75.8056,-10.7498,-338.8629,72.7158,-164.9296,0.0141
[2] : 0.1849,-0.1582,0.8763,25.3295,80.3756,-14.5568,-325.3684,59.2213,-184.4217,0.0142
[2] : 0.1832,-0.1457,0.9213,0.4577,76.0879,4.3716,-337.3635,53.2238,-172.4266,0.0140
[2] : 0.1990,-0.1864,1.0222,-6.3858,83.5037,24.7344,-112.4551,344.1054,-136.4412,0.0141
[2] : 0.1877,-0.1278,1.0055,1.5792,73.2192,34.9884,-313.3733,68.2177,-196.4168,0.0140
[2] : 0.2112,-0.0635,0.9513,-2.8762,44.3496,46.4401,-313.3733,68.2177,-196.4168,0.0141
[2] : 0.2034,-0.0856,1.0080,-17.3492,8.1100,41.0690,-320.8702,78.7134,-206.9125,0.0141
[2] : 0.2009,-0.1307,0.9852,-14.7171,-11.8026,37.7655,-320.8702,78.7134,-206.9125,0.0140
[2] : 0.1252,-0.1766,0.9609,-9.7503,-26.5121,29.1519,-100.4599,341.1066,-142.4388,0.0140
[2] : 0.1119,-0.2107,0.9049,5.6610,-21.3470,13.4353,-311.8739,84.7110,-185.9211,0.0142
[2] : 0.0705,-0.1951,0.9489,16.2277,-11.8026,14.5721,-311.8739,84.7110,-185.9211,0.0142
